angle,accuracy
0.000000000000000000e+00,9.029893030794164588e+01
1.000000000000000000e+01,8.834282009724473994e+01
2.000000000000000000e+01,8.389559157212318041e+01
3.000000000000000000e+01,7.608319286871960685e+01
4.000000000000000000e+01,6.788640194489464363e+01
5.000000000000000000e+01,5.975760129659642672e+01
6.000000000000000000e+01,5.185473257698541971e+01
7.000000000000000000e+01,4.228729335494327302e+01
8.000000000000000000e+01,3.133149108589951481e+01
9.000000000000000000e+01,2.584852512155591597e+01
1.000000000000000000e+02,2.237027552674230080e+01
1.100000000000000000e+02,1.904696920583468511e+01
1.200000000000000000e+02,1.734546191247973823e+01
1.300000000000000000e+02,1.801121555915721117e+01
1.400000000000000000e+02,2.016371150729335682e+01
1.500000000000000000e+02,2.356831442463533222e+01
1.600000000000000000e+02,2.805212317666126509e+01
1.700000000000000000e+02,3.208583468395461580e+01
1.800000000000000000e+02,3.386732576985413345e+01
1.900000000000000000e+02,3.420450567260940034e+01
2.000000000000000000e+02,3.261636952998379257e+01
2.100000000000000000e+02,2.875871961102107122e+01
2.200000000000000000e+02,2.563170178282009815e+01
2.300000000000000000e+02,2.428141004862236585e+01
2.400000000000000000e+02,2.468964343598055322e+01
2.500000000000000000e+02,2.757025931928687257e+01
2.600000000000000000e+02,3.141204213938411627e+01
2.700000000000000000e+02,3.480547811993516660e+01
2.800000000000000000e+02,3.712880064829821691e+01
2.900000000000000000e+02,4.041533225283630770e+01
3.000000000000000000e+02,4.715034035656401556e+01
3.100000000000000000e+02,5.650601296596434509e+01
3.200000000000000000e+02,6.514380875202593302e+01
3.300000000000000000e+02,7.251588330632090162e+01
3.400000000000000000e+02,8.048050243111831037e+01
3.500000000000000000e+02,8.704243111831442548e+01
